trial,validation_mse,unseen_pearson,unseen_spearman,best_epoch,conv1_filters,conv1_kernel,conv1_dropout,conv1_pool,conv2_filters,conv2_kernel,conv2_dropout,conv2_pool,conv3_filters,conv3_kernel,conv3_dropout,conv3_pool,dense0_units,dense0_dropout,dense1_units,dense1_dropout,dense2_units,dense2_dropout,learning_rate,batch_size
82,62.63343811035156,0.7861902117729187,0.7948050053167097,100,112,4,0.4586174899638482,2,64,5,0.18609942200400703,2,32,6,0.33851514026148233,2,128,0.43539902457263985,128,0.11441511027554647,80,0.15932401222459597,5.364944005793815e-05,32
83,60.34501266479492,0.792360782623291,0.7994787089323907,93,112,4,0.43170599646740265,2,48,5,0.15327316565180132,2,32,6,0.3165771576192537,2,128,0.47338706757869015,144,0.14213950085042346,80,0.1424112363340159,9.651956118299335e-05,32
84,60.04509735107422,0.797471821308136,0.8045500910299894,82,112,4,0.47346762947980675,2,64,5,0.1120931654287551,2,32,6,0.38044647646971624,2,96,0.4469758848273452,128,0.1625582151443987,80,0.17291160057195584,0.00012122739056563518,32
85,67.538818359375,0.7658590078353882,0.7766724278036349,100,128,4,0.48896981050521104,2,64,5,0.13078668561534082,2,32,6,0.36556419012269387,2,112,0.4891148495803141,160,0.12270492432438344,96,0.1272595414021814,6.152915797857528e-05,128
86,59.63129425048828,0.7911209464073181,0.7996799971488328,97,128,4,0.4491094433831706,2,48,5,0.14408208078720228,2,16,6,0.4142649489761384,2,128,0.3854138717628206,128,0.15623159908323717,80,0.10143013072219766,8.049557236477994e-05,32
87,69.22740936279297,0.7611282467842102,0.7723871430314666,99,112,4,0.42553952517719756,2,64,5,0.1790747816416931,2,32,6,0.3432336821887842,2,64,0.2801974032598364,144,0.14328737733281363,96,0.13290598204169346,0.00010513526697947224,256
88,58.7274055480957,0.7912113070487976,0.7976020477849144,79,112,4,0.46148662376352095,2,64,5,0.10866814196895244,2,16,6,0.3112598420817057,2,112,0.46330722109733535,112,0.10783791155822381,128,0.15630564935902913,0.0001579291593842498,32
89,74.58230590820312,0.7396535873413086,0.7506568526369799,100,96,4,0.48554036322347116,2,32,5,0.11044617748907214,2,16,6,0.31019810926369706,3,112,0.461922999243129,112,0.10910840260747598,128,0.16857176600393292,0.00014989442017056221,500
90,59.681793212890625,0.7870705723762512,0.7938878318183799,71,128,4,0.44141567505877244,2,48,5,0.13420318294952124,2,16,7,0.400372773788367,2,96,0.47856772930518837,112,0.12698611437893106,112,0.15177628438125318,0.00015505913390684723,32
91,60.029354095458984,0.7888053059577942,0.7974470002113686,92,112,4,0.46189014600763645,2,64,5,0.15464667268486182,2,48,6,0.3732837531997654,2,128,0.44717477722687765,128,0.13412288177703785,80,0.18481123645988498,7.00024762329468e-05,32
92,58.59999084472656,0.796298086643219,0.802303554629654,79,112,4,0.46969694670501383,2,64,5,0.12445603417801676,2,16,6,0.3508905856288441,2,112,0.43008993355460384,128,0.1176247852564819,80,0.12290806296340559,0.00012524549220112094,32
93,60.179359436035156,0.7922555804252625,0.7991066630669443,74,112,4,0.47032308590170874,2,64,5,0.1004783469390213,2,16,6,0.31760589149662943,2,112,0.46279217571775266,112,0.3298100490163006,128,0.11796163652533345,0.00012373348162583996,32
94,58.78363800048828,0.7946021556854248,0.8002850745164883,65,112,4,0.45420850442510924,2,64,5,0.12197895050786367,2,16,6,0.35250735591317556,2,112,0.4178285379435158,144,0.11838661250526086,112,0.1154300164572131,0.00021725318950565684,32
95,59.79393005371094,0.7895679473876953,0.7967179070436305,78,112,4,0.45437425730634023,2,64,5,0.12434717373241615,2,16,6,0.3678616267150956,2,96,0.40174054599879444,144,0.10756362070519085,112,0.1482824104750328,0.00018677636264644815,32
96,58.05615234375,0.793537437915802,0.7995577556528888,49,112,4,0.4260929531502938,3,64,5,0.16743702768922655,2,16,6,0.35377047333467015,2,112,0.41254425874207235,160,0.11804651201377225,112,0.11003876872974278,0.0002711915858580698,32
97,58.11909103393555,0.7933340668678284,0.7995681433272036,59,112,4,0.423328973402726,3,64,5,0.20332144174763983,2,16,6,0.352310776765182,2,112,0.42069425202282895,160,0.12007322483709872,112,0.11170236978783582,0.00024931048301777425,32
98,59.24757766723633,0.7899264693260193,0.7952639255659073,55,144,4,0.394192898580406,3,64,5,0.1702475239561824,2,16,6,0.34822471238595193,2,80,0.41472778539498295,160,0.11952162415607338,112,0.10848203822469979,0.0002982722551660533,32
99,58.919864654541016,0.7963674664497375,0.8024331926840182,55,96,4,0.4131883982905884,3,48,5,0.19997147952868122,2,16,6,0.35194131640423343,3,112,0.4207501910588855,160,0.10199435189472221,112,0.12430820905237353,0.0002576682161584774,32
